,@type,author.@type,author.image,author.name,author.url,claimReviewed,datePublished,itemReviewed.@type,itemReviewed.author.@type,itemReviewed.author.image,itemReviewed.author.jobTitle,itemReviewed.author.name,itemReviewed.datePublished,itemReviewed.name,reviewRating.@type,reviewRating.alternateName,reviewRating.bestRating,reviewRating.image,reviewRating.ratingValue,reviewRating.worstRating,url
0,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Ocak ayında son 12 yılın en yüksek yolcu trafiği gerçekleşmiş oldu.,2018-02-08,CreativeWork,Person,http://www.dogrulukpayi.comhttps://s3.eu-central-1.amazonaws.com/dogrulukpayi/actor/ahmet-arslan-442.jpg,"Ulaştırma, Denizcilik Ve Haberleşme Bakanı",Ahmet  Arslan,2018-02-09,Anadolu Ajansı Röportajında,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,10,0,http://www.dogrulukpayi.com/iddia-kontrolu/ahmet-arslan/ocak-ayinda-son-12-yilin-en-yuksek-yolcu-trafigi-gerceklesmis-oldu
1,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Asgari ücretle çalışan emekçilerin kahvaltı sofrasındaki ürünlerin çoğunun fiyatı hem enflasyondan hem de asgari ücret artışından daha fazla arttı.,2018-02-08,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/cetin-osman-budak/orig.png,Antalya Milletvekili,Çetin Osman Budak ,2018-02-09,Twitter,Rating,Kısmen Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/2.png?v3.1.03,5,0,http://www.dogrulukpayi.com/iddia-kontrolu/cetin-osman-budak/asgari-ucretle-calisan-emekcilerin-kahvalti-sofrasindaki-urunlerin-cogunun-fiyati-hem-enflasyondan-hem-de-asgari-ucret-artisindan-daha-fazla-artti
2,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Ailelerin cebinden hastanelere giden para miktarı yüzde 1136 gibi fahiş bir artış gösterdi.,2017-12-18,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/aykut-erdogdu/orig.png,İstanbul Milletvekili,Aykut  Erdoğdu,2017-12-20,Ankara,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,9,0,http://www.dogrulukpayi.com/iddia-kontrolu/aykut-erdogdu/ailelerin-cebinden-hastanelere-giden-para-miktari-yuzde-1136-gibi-fahis-bir-artis-gosterdi
3,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Türkiye’de 24 bin gazeteciden 9 bini işsiz. Türkiye’deki işsizlik rekoru gazetecilik mesleğine ait.,2017-12-16,CreativeWork,Person,http://www.dogrulukpayi.comhttps://s3.eu-central-1.amazonaws.com/dogrulukpayi/actor/utku-cakirozer-948.jpg,CHP Eskişehir Milletvekili,Utku  Çakırözer,2017-12-22,TBMM,Rating,Kısmen Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/2.png?v3.1.03,5,0,http://www.dogrulukpayi.com/iddia-kontrolu/utku-cakirozer/turkiye-de-24-bin-gazeteciden-9-bini-issiz-turkiye-deki-issizlik-rekoru-gazetecilik-meslegine-ait
4,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"Adalet ve Kalkınma Partisi geldiğinde yüzde 52’lerde olan “yargıya güven” endeksi, şu anda yüzde 14’e kadar düştü.",2017-12-21,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/ozgur-ozel/orig.png,Manisa Milletvekili,Özgür Özel ,2017-12-22,TBMM,Rating,Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/0.png?v3.1.03,0,0,http://www.dogrulukpayi.com/iddia-kontrolu/ozgur-ozel/adalet-ve-kalkinma-partisi-geldiginde-yuzde-52-lerde-olan-yargiya-guven-endeksi-su-anda-yuzde-14-e-kadar-dustu
5,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Türkiye’deki spor kulübü sayısı 13 bini geçmesine rağmen gelişmiş ülkelerle kıyaslandığında bu rakam çok düşük.,2017-12-12,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/omer-fethi-gurer/orig.png,Niğde Milletvekili,Ömer Fethi Gürer ,2017-12-20,Ankara,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,10,0,http://www.dogrulukpayi.com/iddia-kontrolu/omer-fethi-gurer/turkiye-deki-spor-kulubu-sayisi-13-bini-gecmesine-ragmen-gelismis-ulkelerle-kiyaslandiginda-bu-rakam-cok-dusuk
6,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,"Türkiye havacılıkta dünyada 11., Avrupa’da 5. sıraya yükseldi. THY Avrupa’nın 2. büyük şirketi haline geldi.",2017-09-29,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/binali-yildirim/orig.png,Başbakan,Binali Yıldırım ,2017-10-09,Çanakkale,Rating,Büyük Oranda Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/3.png?v3.1.03,7,0,http://www.dogrulukpayi.com/iddia-kontrolu/binali-yildirim/turkiye-havacilikta-dunyada-11-avrupa-da-5-siraya-yukseldi-thy-avrupa-nin-2-buyuk-sirketi-haline-geldi
7,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,100 gençten 27’si hem okula gitmiyor hem de çalışmıyor.,2017-10-03,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/kemal-kilicdaroglu/orig.png,Genel Başkanı,Kemal  Kılıçdaroğlu,2017-10-09,TBMM,Rating,Büyük Oranda Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/3.png?v3.1.03,7,0,http://www.dogrulukpayi.com/iddia-kontrolu/kemal-kilicdaroglu/100-gencten-27-si-hem-okula-gitmiyor-hem-de-calismiyor
8,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Türkiye Maastricht ile Kopenhag kriterlerini gerçekleştirdi ve birçok AB ülkesinden de iyi konumda.,2017-10-03,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/mevlut-cavusoglu/orig.png,Dışişleri Bakanı,Mevlüt  Çavuşoğlu,2017-10-06,Anadolu Ajansı,Rating,Doğruluk Payı Yoktur,10,http://www.dogrulukpayi.com/web/assets/img/kadran/0.png?v3.1.03,0,0,http://www.dogrulukpayi.com/iddia-kontrolu/mevlut-cavusoglu/turkiye-maastricht-ile-kopenhag-kriterlerini-gerceklestirdi-ve-bircok-ab-ulkesinden-de-iyi-konumda
9,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Türkiye’de cezaevlerinde annesiyle birlikte kalan 6 yaş altındaki çocuk sayısı 594.,2017-10-04,CreativeWork,Person,http://www.dogrulukpayi.comhttps://s3.eu-central-1.amazonaws.com/dogrulukpayi/actor/muslum-dogan-2055493528.jpg,İzmir Milletvekili,Müslüm  Doğan,2017-10-05,Twitter,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,10,0,http://www.dogrulukpayi.com/iddia-kontrolu/muslum-dogan/turkiye-de-cezaevlerinde-annesiyle-birlikte-kalan-6-yas-altindaki-cocuk-sayisi-594
10,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Son 16 yılda cezaevlerinde 3.432 tutuklu ve hükümlü hayatını kaybetti.,2017-11-05,CreativeWork,Person,http://www.dogrulukpayi.comhttps://s3.eu-central-1.amazonaws.com/dogrulukpayi/actor/veli-agbaba-481.jpg,Malatya Milletvekili,Veli  Ağbaba,2017-11-13,TBMM,Rating,Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/4.png?v3.1.03,9,0,http://www.dogrulukpayi.com/iddia-kontrolu/veli-agbaba/son-16-yilda-cezaevlerinde-3-432-tutuklu-ve-hukumlu-hayatini-kaybetti
11,ClaimReview,Organization,/web/assets/img/header_logo_color.png,Doğruluk Payı,http://www.dogrulukpayi.com,Buzağı ölümleri ülkemizde yüzde 15 seviyesindedir. Her yıl yaklaşık 500 bin buzağı ölmektedir. Buzağı ölümlerini durdurduğumuzda canlı hayvan ithalatının da kendiliğinden önüne geçilmiş olacak.,2017-11-06,CreativeWork,Person,http://www.dogrulukpayi.com/image/actor/ismail-ok/orig.png,İyi Parti Balıkesir Milletvekili,İsmail  Ok,2017-11-09,TBMM,Rating,Büyük Oranda Doğruluk Payı Vardır,10,http://www.dogrulukpayi.com/web/assets/img/kadran/3.png?v3.1.03,7,0,http://www.dogrulukpayi.com/iddia-kontrolu/ismail-ok/buzagi-olumleri-ulkemizde-yuzde-15-seviyesindedir-her-yil-yaklasik-500-bin-buzagi-olmektedir-buzagi-olumlerini-durdurdugumuzda-canli-hayvan-ithalatinin-da-kendiliginden-onune-gecilmis-olacak
