,author.properties.image,author.properties.name,author.properties.url,author.type,claimReviewed,datePublished,itemReviewed.properties.author.properties.jobTitle,itemReviewed.properties.author.properties.name,itemReviewed.properties.author.properties.sameAs,itemReviewed.properties.author.type,itemReviewed.properties.datePublished,itemReviewed.properties.image,itemReviewed.properties.name,itemReviewed.type,reviewRating.properties.alternateName,reviewRating.properties.bestRating,reviewRating.properties.image,reviewRating.properties.ratingValue,reviewRating.properties.worstRating,reviewRating.type,sameAs,url
0,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Claims President Trump “wants to eliminate overtime pay for people.”,,Democratic National Committee chairman,Tom Perez,,http://schema.org/Person,02/26/2017,https://www.factcheck.org/UploadedFiles/2017/02/perez.png,NBC’s “Meet the Press”,http://schema.org/CreativeWork,,10,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/distorts.png,8,,http://schema.org/Rating,,https://www.factcheck.org/2017/02/dnc-chair-on-trump-and-overtime-pay/
1,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Described the estimated 2.6 percent growth in the nation’s real gross domestic product for the second quarter of 2017 as “a number that nobody thought they’d see for a long period of time.”,2017-08-01 15:46:16 UTC,President of the United States,Donald Trump,,http://schema.org/Person,2017-07-31,https://www.factcheck.org/UploadedFiles/2017/01/Trump-new-widget.png,Cabinet meeting at the White House,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2017/08/trumps-gdp-puffery/
2,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,https://www.factcheck.org/,http://schema.org/Organization,Claimed his policies have reduced the cost of electricity for U.S. businesses.,2018-02-14 19:48:02 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2018-02-13,https://cdn.factcheck.org/UploadedFiles/Trump-new-widget.png,White House,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2018/02/trumps-power-puffery/
3,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,“BREAKING: 4 Million Democrat Votes Were Just Declared Fraudulent.”,2018-02-14 21:33:00 UTC,–,Various websites,reaganwasright.com,http://schema.org/Person,2018-02-07,https://cdn.factcheck.org/UploadedFiles/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2018/02/4-million-democratic-votes-werent-discounted/
4,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,Sen. Richard Durbin has a history of misrepresenting what happens in White House meetings.,2018-01-18 21:32:59 UTC,U.S. Senator,Tom Cotton,https://www.cotton.senate.gov/,http://schema.org/Person,2018-01-14,https://cdn.factcheck.org/wp-content/uploads/2015/03/Cotton2.png,Face the Nation interview,http://schema.org/CreativeWork,Misleading,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/misleading.png,6,1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/durbins-history-misrepresentations/
5,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,“Trump approval ratings with Black Americans has doubled.”,2018-01-18 22:41:09 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2018-01-16,https://cdn.factcheck.org/UploadedFiles/Trump-new-widget.png,Twitter,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/trump-tweets-faulty-black-approval-claim/
6,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,"“I have been very strict on Commercial Aviation. Good news – it was just reported that there were Zero deaths in 2017, the best and safest year on record!”",2018-01-02 23:22:02 UTC,President of the United States,Donald Trump,https://www.whitehouse.gov/administration/president-trump,http://schema.org/Person,2018-01-02,https://cdn.factcheck.org/UploadedFiles/Trump-new-widget.png,Twitter,http://schema.org/CreativeWork,Needs Context,-1,https://dhpikd1t89arn.cloudfront.net/custom-rating/custom-ratings-0c90d2bb-72d0-47d5-8cd0-0a75cdcfcd35,-1,-1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/trumps-aviation-boast/
7,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,“$4 million and 2 dead bodies found in Democrat mayor’s storage unit.”,2018-01-04 22:34:35 UTC,–,Various websites,ladiesofliberty.net,http://schema.org/Person,2018-01-01,https://cdn.factcheck.org/UploadedFiles/Fake-News-widget.png,,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/no-cash-no-corpses-made-mayor/
8,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,“President Barack Obama repeatedly failed to express America’s solidarity with the Iranian protesters” in 2009.,2018-01-04 22:37:23 UTC,Vice President of the United States,Mike Pence,https://www.whitehouse.gov/people/mike-pence/,http://schema.org/Person,2018-01-03,https://cdn.factcheck.org/wp-content/uploads/2016/07/Pence-Widget.jpg,Washington Post Op-Ed,http://schema.org/CreativeWork,False,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/false.png,7,1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/response-iranian-protests-now/
9,https://cdn.factcheck.org/UploadedFiles/2013/04/TransparentWebLogo.png,FactCheck.org,http://www.factcheck.org/,http://schema.org/Organization,“Look at the jobs numbers that were just released last week — manufacturing is roaring back.”,2018-01-10 20:54:02 UTC,Vice President of the United States,Mike Pence,https://www.whitehouse.gov/people/mike-pence/,http://schema.org/Person,2018-01-08,https://cdn.factcheck.org/wp-content/uploads/2016/07/Pence-Widget.jpg,Radio interview,http://schema.org/CreativeWork,Spins the Facts,11,https://s3.amazonaws.com/share-the-facts/rating_images/factcheck.org/spins.png,2,1,http://schema.org/Rating,,https://www.factcheck.org/2018/01/manufacturing-jobs-roaring-back/
