,@context,@type,author.@type,author.name,author.sameAs,author.url,claimReviewed,datePublished,itemReviewed.@type,itemReviewed.author.@type,itemReviewed.author.name,itemReviewed.author.sameAs,itemReviewed.datePublished,reviewRating.@type,reviewRating.alternateName,reviewRating.bestRating,reviewRating.ratingValue,reviewRating.worstRating,url
0,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/02/16,CreativeWork,Organization,,,1970/01/01,Rating,,3,,1,http://nieuwscheckers.nl/nieuwscheckers/klassieke-y-as-oprek-truc-in-tweet-sp-leider-roemer/
1,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/02/16,CreativeWork,Organization,,,1970/01/01,Rating,,3,,1,http://nieuwscheckers.nl/nieuwscheckers/50plus-gaat-kort-door-de-bocht-met-aangiftes-die-voor-de-rechter-komen/
2,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/02/03,CreativeWork,Organization,,,1970/01/01,Rating,,3,,1,http://nieuwscheckers.nl/nieuwscheckers/misleidende-kop-met-potlood-stemmen-onveilig/
3,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Kissing bugs komen steeds vaker voor in Nederland en verspreiden hier de ziekte van Chagas.,2017/05/02,CreativeWork,Organization,Clickbaitsites,http://heerlijk-wonen.com/index.php/chagas-bug/,2016/06/30,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/gevaarlijk-insect-verspreidt-zich-door-nederland/
4,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/02/16,CreativeWork,Organization,,,1970/01/01,Rating,,3,,1,http://nieuwscheckers.nl/nieuwscheckers/weg-met-de-euro-over-de-voor-en-nadelen-van-een-gemeenschappelijke-munt/
5,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Een video toont een man die een vrouw mishandelt en haar daarna onder dwang  meeneemt in een auto. Volgens het bijschrift is dit recent gebeurd en is de dader nog niet opgespoord.,2017/04/07,CreativeWork,Organization,Clickbaitsites,http://niet100.tv/2017/04/jongen-van-noord-afrikaanse-afkomst-mishandeld-en-gijzelt-nederlandse-meisje-video/,2017/04/05,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/hoax-video-gijzeling-is-2-jaar-oud-zaak-opgelost/
6,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,"James Robinson (51) verloor twee vingers toen hij werd aangevallen door eekhoorns. De dieren waren gestuurd door zijn ex-vrouw, een voormalige leeuwentemster. De vrouw, genaamd Smith, werd opgepakt door de politie.",2017/04/10,CreativeWork,Organization,Prankster,http://prankster.nl/gestoorde-vrouw-stuurt-getrainde-eekhoorns-op-haar-ex-man-af-en-die-verliest-twee-vingers/,2017/04/06,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/hoax-vrouw-laat-ex-aanvallen-door-eekhoorns/
7,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Criminelen wikkelen een shirt om de ruiterwissers van geparkeerde auto's om personen uit hun auto te lokken na het instappen.,2017/09/14,CreativeWork,Organization,Verschillende clickbaitwebsites,http://www.nieuwsflits.co/op-enge-truc-ruitenwissers-zoveel-mogelijk-delen-svp/,2017/06/19,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/criminelen-lokken-vrouwen-uit-auto-met-ruitenwissertruc/
8,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Hitler verbleef na de Tweede Wereldoorlog enige tijd tijd in Colombia.,2017/09/17,CreativeWork,Organization,www.ninefornews.nl,https://www.ninefornews.nl/hitler-leefde-jaren-argentinie-cia/,2017/09/09,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/hitler-vluchtte-naar-colombia/
9,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,"In Arnhem is een man gefilmd terwijl hij, verborgen achter een bestelwagen, zijn hond slaat.",2017/09/18,CreativeWork,Organization,www.niet100.tv,http://niet100.tv/2017/09/lafaard-in-arnhem-werd-gefilmd-hoe-hij-zich-achter-bestelwagen-verschanste-om-zijn-hond-brutaal-en-ongestoord-in-elkaar-te-kunnen-slaan/,2017/09/17,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/man-in-arnhem-gefilmd-bij-mishandelen-hond/
10,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Je ontvangt twee gratis vliegtickets na het invullen van een online enquête.,2017/09/22,CreativeWork,Organization,facebook,http://transavia.com-flightdeals.site,,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/gratis-vliegtickets-na-invullen-enquete/
11,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,"Aspartaam is slechter voor de gezondheid dan suiker, en verhoogt het risico op hart- en vaatziekten en een hartaanval.",2017/09/22,CreativeWork,Organization,voorspoedigleven.nl,http://voorspoedigleven.nl/drinken-glas-cola-light-al-vreselijke-gevolgen-gezondheid/,,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/cola-light-is-levensgevaarlijk/
12,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,,2017/11/03,CreativeWork,Organization,devolgendevideo.nl,https://volgendevideo.nl/index.php/2017/10/30/criminelen-truc-biljet,2017/10/30,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/bankbiljet-op-autoruit-als-loktruc/
13,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Diandra Toyos en haar drie kinderen werden in IKEA bijna het slachtoffer van mensenhandel.,2018/01/03,CreativeWork,Organization,nieuws-dump.nl,http://www.nieuws-dump.nl/kinderen-ikea-2/,2017/12/28,Rating,niet te checken,3,-1,1,http://nieuwscheckers.nl/nieuwscheckers/mensenhandel-in-ikea/
