category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
type(Argument 2),,,,,,,,,SimpleArgument #1,SimpleArgument #1,SimpleArgument #2,SimpleArgument #2,SimpleArgument #3,SimpleArgument #3,SimpleArgument #4,SimpleArgument #4,TemporalArgument #1,TemporalArgument #1,TemporalArgument #2,TemporalArgument #2,TemporalArgument #3,TemporalArgument #3,SpatialArgument #1,SpatialArgument #1,SpatialArgument #2,SpatialArgument #2,
datatype,,,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,
22,"""""As you know, we’re doing record and close-to-record GDP.""""",0.4978219019954182,,,we,"(24, 26)",'re doing,"(27, 36)",close - to - record GDP,"(37, 60)",,,,,,,,,,,,,,,,,15
23,"""""As you know, we’re doing record and close-to-record GDP.""""",0.4517038250665665,,,we,"(24, 26)",'re doing,"(27, 36)",record,"(37, 43)",,,,,,,,,,,,,,,,,15
24,"""""As you know, we’re doing record and close-to-record GDP.""""",0.3842405206583326,,,you,"(13, 16)",know,"(17, 21)",,,,,,,,,,,,,,,,,,,15
37,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9365537152932236,other Trump campaign officials agreed,"(0, 37)",other Trump campaign officials,"(0, 30)",agreed to meet,"((31, 37), (38, 45))",Natalia Veselnitskaya,"(46, 67)",,,,,,,in June 2016,"(83, 95)",,,,,at Trump Tower,"(68, 82)",,,23
38,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9594694574848391,,,other Trump campaign officials,"(0, 30)",agreed,"(31, 37)",to meet Natalia Veselnitskaya at Trump Tower in June 2016,"(38, 95)",,,,,,,,,,,,,,,,,23
39,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.5222094630377523,,,she,"(116, 119)",was,"(120, 123)",a representative of the Russian government,"(124, 166)",,,,,,,,,,,,,,,,,23
40,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.3198909572915085,,,they,"(98, 102)",did n't know,"(103, 115)",,,,,,,,,,,,,,,,,,,23
41,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.3853208301752743,,,she,"(112, 115)",was a representative of,"(116, 139)",the Russian government,"(140, 162)",,,,,,,,,,,,,,,,,23
42,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9279812910556979,Donald Trump Jr agreed they did n't know she was,"(11, 119)",Donald Trump Jr,"(11, 26)",agreed to meet,"((27, 33), (34, 41))",Natalia Veselnitskaya,"(42, 63)",,,,,,,in June 2016,"(79, 91)",,,,,at Trump Tower,"(64, 78)",,,23
43,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.9538406488678464,they did n't know she was,"(94, 119)",Donald Trump Jr,"(11, 26)",agreed,"(27, 33)",to meet Natalia Veselnitskaya at Trump Tower in June 2016,"(34, 91)",,,,,,,,,,,,,,,,,23
44,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.4569402361344342,they did n't know,"(94, 111)",she,"(112, 115)",was,"(116, 119)",a representative of the Russian government,"(120, 162)",,,,,,,,,,,,,,,,,23
45,"""When Donald Trump Jr. and other Trump campaign officials agreed to meet Natalia Veselnitskaya at Trump Tower in June 2016 “they didn’t know she was a representative of the Russian government.”""",0.4008138313017749,,,they,"(94, 98)",did n't know,"(99, 111)",she was a representative of the Russian government,"(112, 162)",,,,,,,,,,,,,,,,,23
75,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.16235220060090308,She Was,"(68, 75)",She,"(112, 115)",'s Lying,"(115, 123)",,,,,,,,,,,,,,,,,,,46
76,"""""KAMALA HARRIS Says Schools in Berkeley Weren’t Integrated When She Was a Kid — But Yearbook Pictures Prove She’s Lying.""""",0.20454204683219115,,,She,"(68, 71)",Was,"(72, 75)",,,,,,,,,,,,,,,,,,,46
